Tiempo;Edad;Salud;Energia;Felicidad
0.0;0.0;100;100;50
0.5;0.5;95;95;75
1.0;1.0;95;95;70
1.5;1.5;90;90;65
2.0;2.0;85;85;60
2.5;2.5;80;80;55
3.0;3.0;75;75;50
3.5;3.5;70;70;45
4.0;4.0;65;65;40
4.5;4.5;60;60;35
5.0;5.0;55;55;30
5.5;5.5;50;50;25
6.0;6.0;65;65;20
6.5;6.5;60;60;45
7.0;7.0;55;55;70
7.5;7.5;50;50;65
8.0;8.0;65;65;60
8.5;8.5;60;60;85
9.0;9.0;75;75;80
9.5;9.5;90;90;75
10.0;10.0;85;85;70
10.5;10.5;80;80;65
11.0;11.0;75;75;60
11.5;11.5;70;70;55
12.0;12.0;65;65;50
12.5;12.5;80;80;45
13.0;13.0;95;95;40
13.5;13.5;90;90;35
14.0;14.0;85;85;30
14.5;14.5;80;80;25
15.0;15.0;75;75;20
15.5;15.5;70;70;15
